,neighborhood_overview,review_scores_location
33216,The  is up and co g  there are quite a few nice coffee shops in the      Curved Brick Co   Deeney's   also sells delicious toasties   Yardarm   also delicatessen and wine bar  It sells nice bread and pastries  Local Gastro Pubs __oach and Horses_ and __eyton Technical_  We have on street parking but Monday to Friday 8am - 6 30pm you will need to pay 50p / hour or 拢5 50 a day ,5
33220,Hackney Downs Park a short      Liverpool Street station 15   by Overground from Clapton station  Lower Clapton Road features all the cafes  bars  restaurants and other hangout places to suit everyone  liking ,5
33223, coffee everywhere,5
33225,Home to London  most remarkable and historic attractions  West ter is the epicenter of culture and commerce  Mixing government and financial offices with densely populated family homes  this eclectic community offers something for everyone  Enjoy the upscale restaurants and shopping boutiques in between visiting Big Ben and Buckingham Palace ,5
33228,Home to London  most remarkable and historic attractions  West ter is the epicenter of culture and commerce  Mixing government and financial offices with densely populated family homes  this eclectic community offers something for everyone  Enjoy the upscale restaurants and shopping boutiques in between visiting Big Ben and Buckingham Palace ,5
33233,Home to London  most remarkable and historic attractions  West ter is the epicenter of culture and commerce  Mixing government and financial offices with densely populated family homes  this eclectic community offers something for everyone  Enjoy the upscale restaurants and shopping boutiques in between visiting Big Ben and Buckingham Palace ,5
33237,We are right next door to the international rugby stadium which hosts rugby games as   as occasionally the occasional music gig - last year we had The Rolling Stones an E em  Despite being    it's still very quiet at the    Twickenham and Richmond are very  on the River Thames and are very pretty places to visit - especially to   along the towpath   historic  s  palaces and gardens can also be discovered  too - Hampton Court Palace  Ham   and the world famous Kew Botanical Gardens   It only takes 20   to get into London Waterloo by train where there is lots to see and do also ,5
33239,Home to London  most remarkable and historic attractions  West ter is the epicenter of culture and commerce  Mixing government and financial offices with densely populated family homes  this eclectic community offers something for everyone  Enjoy the upscale restaurants and shopping boutiques in between visiting Big Ben and Buckingham Palace ,5
33245,Opposite the   the park has a lovely cafe and tennis courts    for a few   to the lively high street with  coffee shops  bars  a bakery  shops  restaurants and a Sunday Farmers market for fresh food and delicatessen treats ,5
33246,Home to London  most remarkable and historic attractions  West ter is the epicenter of culture and commerce  Mixing government and financial offices with densely populated family homes  this eclectic community offers something for everyone  Enjoy the upscale restaurants and shopping boutiques in between visiting Big Ben and Buckingham Palace ,5
33247,The  is unique  Just outside the apartment block you have the emirates cable car taking you across to Greenwich and the O2  Just the ride is worth doing  Views across to Canary Wharf  There are two hotels next to the apartment and a  selection of restaurants just a few      Gym facilities and pool are available in the hotel  There is a water sports centre where you can try Wakeboarding and open water swim g  just  5       You will be just 20     from the Olympic park  a must see with its impressive facilities that you can use  including the velodrome  One of the best in the world  Stratford is just 10     with Westfield  one of Europe  best shopping malls  It is a very safe   and a very relaxing place to stay    The hotel opposite called Good Hotel does a buffet breakfast for about 拢11 or you can grab a coffee and croissant there for about 拢4  You also have a cafe next to Tesco ,5
33252,A lot of bars  pubs  restaurants on the doorstep too  not mentioning grocery shops  post office  swim g pool or cinema   location to stay with Family and enjoying London living  Parks and beautiful Dulwich College 15     ,5
33257,Popular residential location in Walthamstow which is a vibrant part of North East London  Supermarkets  restaurants  cafes   pubs all   short          to Take    Restaurants  Banks and post office   If you are looking for a vie to the world of differing cultures and cuisines you will certainly love what Walthamstow has to offer ,5
33258,Quiet    to all amenities   Coffee shops  local supermarkets and parks on the doorstep and a whole range of amenities in Wimbledon high street   Wimbledon Village is only a 20    / 10   bus ride   ,5
33261,Few     to Oxford street  10  to Theatreland  Leicester Square and the British Museum and open green spaces ,5
33265,The 'Harringay Ladder'  N4 is one of the most  -connected locations in London for transport  while remaining quiet even on weekend nights   Whether you want a peaceful haven to relax after busy London  perhaps to go jogging in  Finsbury Park  enjoy some of the best food in London or discover the local nature reserve that extends all the way to Highgate  there is plenty to enjoy here  The journey into the West End or  Crouch End  Stroud Green  Stoke Newington Church Street and Islington Upper Street all provide  entertainments and dining out   easy reach  Green Lanes high street itself is famous for gourmet kebabs and baklava  and has   other cuisines  We also have a fantastic local Grand Victorian pub with a  selection of beers  The Salisbury is famous for being featured in the classic film 'The Long Good Friday'   Other local highlights include   cafes  Dusty Knuckle  Music   Beans  But First Coffee  Blend  Bun   Bar  Polish gour,5
33268,The local   is vibrant  yet surprisingly quiet   Not only moments   from a fantastically linked station  but also an equally short   to the local shops and park - home to East London Rugby and Football Club ,5
33281,Willesden Green is five miles north-west of central London and Smith would celebrate the fact that the focal point of its high street  along the High Road  is its brand-new library and museum  built after a fierce local planning battle  which is tacked on to the back of the original Edwardian library building      The museum tells the story of how Willesden changed after the arrival of the Metropolitan line       By the 1890s it was the fastest-growing district in London  Waves of immigration shaped the    history  so much so that by the mid-Sixties a fifth of its residents hailed from Ireland       Visitors to the museum can learn how the Barham family started sending milk from Willesden  dairy cows to central London by express train _ calling the business Express Dairies _ and how Titus Barham  collections provided the foundation for the museum       Willesden    neighbours are Neasden  Crickle,5
33283,Friendly local   Excellent transport links   10   into London Bridge local shops   friendly pubs and two lovely parks plus a gym with a pool where you can pay per visit ,5
33290,v near to shops and station,5
33291,  is   to beautiful green open spaces and park  yet    able   to main transport DLR  buses  train ,5
33300,  with lots of cafes and restaurants as   as little shops  It  not touristy so you__l be with the locals yet it is only 15     from Oxford street on the tube so very central  ,5
33301,Plenty of restaurants and shops across the road  This   is particularly abundant in designer fashion and furniture shops  Natural History Museum  Science Museum  V A  Saatchi Gallery  Harrod    5-10       Grocery shop Sainsbury  100meters   open daily till 11pm,5
33303,Archway is a bustling city centre and there are   supermarkets  pubs  caf猫s and restaurants on your doorstep  All of London is accessible via the  underground  and Camden Town and Hampstead Heath are a short bus-ride    The beautiful Waterlow Park and Highgate Village are just a   up the hill  as is the famous Highgate Cemetery  Archway is a  base from which to explore London ,5
33310,Drayton Garden is front of    there is tesco express in      shopping centre uxbridge chimes is in 15   drive ,5
33320,- Set in an ideal location nestled between Islington's Upper Street  Clerken  and Shoreditch with their bustling high streets bars and restaurants  Both Old Street station  National Rail and Northern Line  and Angel Underground Station  Northern Line  are         - 2     and you are at the char g Shoreditch/Regent canal with coffee  s  restaurants and   boats  There is a nice local pub just across the street  Wenlock Arms  and a fantastic gastro pub on the canal called the Narrow Boat    - The Cube recently won  Development Of Outstanding Architectural Merit  at the London Evening Standard Property Awards ,5
33323,The park is opposite and we have green land behind the   too   The block is quiet and the  s immediately around us are privately owned by professionals   The parade of shops has everything you need including bus stops to get to New Malden it Worcester park high streets in under 10   ,5
33325,Our  is like a village in central London  we have  local shops and things like an urban farm and  parks           to trendy Tooting for nightlife  coffee and which is  for exploring    to the green spaces of south west London such as Wimbledon Common or Richmond Park  as   as more local ones ,5
33327,Archway is an easy access from Central London on the Northern Line  It is very convenient if you come from Paris  Brussels on Eurostar from St  Pancras International   Food shopping in Archway  Co-op across from the Archway Station Aldi  Sainsbury  Tesco on Holloway Road   For breakfast   coffee  these are my recommendations in Archway  Bread   Bean Cricks Corner 607 Coffee   The Spoke,5
33330,The apartment is unique in that we are very   to transport links but not near any other buildings  You will wake up not realising you are in a big city looking out into the garden  and in 3   you see right next to a rail station  The apartment is near the canal / cycle path which has amazing views of East and Central London ,5
33334,You will be spoilt for choice in the stylish   of South Kensington  The  is full of world-class local cafes  restaurants and bars  There is a  shopping   on the iconic King's Road- Chelsea  the famous Harrods in Knightsbridge and the trendy boutiques of Kensington High Street   If you fancy a bit of green space  take a stroll to Holland Park in just 9-   Kensington Gardens in 15-  or a little bit longer for Hyde Park  For culture  visit the world famous Natural History Museum  the Science Museum  the Royal Albert Hall and Victoria   Albert Museum  Alternatively  have a short ride on the tube and you will find yourself in the theatre land of the West End  afterwards   to Buckingham Palace  The  s of Parliament  Big Ben and The London Eye ,5
33335,Our  st shops are a few       on Fortess Road  This is a vibrant high street with some fantastic restaurants / bars  favourites are a new epicerie called Authentique and a  restaurant / cocktail bar called Ceremony   There's a gourmet ice cream parlour  Ruby Violet   a dangerously  clothes shop  Diverse   a bakery  Spence   a butcher  Meat NW5   an excellent fish shop  Jonathan Norris   some  cafes  interior shops  a supermarket  gastro pub and much more ,5
33336,Whether you__e after a simple chippy or something a bit more snazzy  or even Michelin-starred   Notting Hill  jam-packed with  cafes and restaurants    Experience a mile of hustle  haggle  colour and energy on Portobello market where you will find hundreds of antique  specialist shops  food stalls and even street performers   Right next to The Electric in Notting Hill   one of London  oldest cinemas and definitely the most romantic ,5
33338,A wonderful array of local restaurants and pubs on your doorstep  as   as  brunch spots  the Thames path   gorgeous green spaces all around ,5
33341,Ridley Road market every day except Saturday  Broadway market on Saturday  Columbia Road market and Shoreditch flea market on Sunday  vintage/ charity shops  a selection of lovely restaurants and authentic cuisines  Andu vegan Ethiopian  Ridley Road Social Club  Attawa Indian restaurant  All Nations Vegan    Little Duck The Picklery  The Prince George  The Prince Arthur  The Blues Kitchen and   more   a buzzing nightlife  Dalston Jazz Bar  The Jago  Troy Bar  Dalston Superstore  Metropolis  The Moth Club  and   more   The Dalston roof park  the idyllic Dalston Eastern Curve garden  pubs  our locals The Prince George and The Prince Arthur   quirky cafes and independents of all sorts all make Dalston a  place to explore ,5
33347,Olympia exhibition centre  Westfield  Holland Park  hyde park ,5
33349,Premium location in London   zone 1  few   from museums  stores  groceries and tube station ,5
33350,Lower Clapton is very friendly  lots of young families and creatives ,5
33352,Camden Town is a lively  iconic  of London   The Market always has good people-watching opportunities  there is no shortage of cafes  pubs and restaurants  plenty of live music and loads of food stands from around the world  A short   along the canal brings you to Regent's Park and Primrose Hill and the scene totally changes to quiet and beautiful green spaces ,5
33358,Home to London  most remarkable and historic attractions  West ter is the epicenter of culture and commerce  Mixing government and financial offices with densely populated family homes  this eclectic community offers something for everyone  Enjoy the upscale restaurants and shopping boutiques in between visiting Big Ben and Buckingham Palace ,5
33359,Wembley Park London designer outlet shopping Mall  WembleyArena/X Factor studio  Wembley Stadium Also 20 mn to city centre Oxford street shopping centre via metropolitan Line at Wembley Park station     famous others  s reachable as     Any questions  information I can be help the best I can,5
33360,London is multicultural  char g  contemporary and burtsling city  People of all works of life live in London  You will expect to find different cultures interacting and living in peace with one another in the    Its a fantastic   The bus stop is only 2     from the    The train station is 8     and you get to central London   15   on the Overground and underground  The   is located   from road or train noise  hence you will enjoy a good sleep  Two     from the   are the following Restaurants  Chinese  Garden    Indian  Bayleaf  Dosh -Dane   Turkish  Fish and chips  English  and Afro Caribbean  For your comfort  there is  super market called AAA  this  s at 1am  Edmonton Green Mall is 8     from the    The bus ter al is 8     from the    there are lots of buses which serves the    ranging from bus 279 259 191 W8 102 and they run for 24 hours  There is a direct train to Stoke Newingt,5
33365,Home to London  most remarkable and historic attractions  West ter is the epicenter of culture and commerce  Mixing government and financial offices with densely populated family homes  this eclectic community offers something for everyone  Enjoy the upscale restaurants and shopping boutiques in between visiting Big Ben and Buckingham Palace ,5
33368,Home to London  most remarkable and historic attractions  West ter is the epicenter of culture and commerce  Mixing government and financial offices with densely populated family homes  this eclectic community offers something for everyone  Enjoy the upscale restaurants and shopping boutiques in between visiting Big Ben and Buckingham Palace ,5
33372,Home to London  most remarkable and historic attractions  West ter is the epicenter of culture and commerce  Mixing government and financial offices with densely populated family homes  this eclectic community offers something for everyone  Enjoy the upscale restaurants and shopping boutiques in between visiting Big Ben and Buckingham Palace ,5
33375,Bustling  with a  selection of local pubs  restaurants   shops on the high street ,5
33376,There are loads of pubs  restaurants  museums  galleries and cinemas   safe   and very   connected to the city   Brick Lane  3     Tower Bridge  17    Shoreditch  15-20    Old Street  20    London Bridge  22   ,5
33380,  to all the amenities   public transport links,5
33388,Home to London  most remarkable and historic attractions  West ter is the epicenter of culture and commerce  Mixing government and financial offices with densely populated family homes  this eclectic community offers something for everyone  Enjoy the upscale restaurants and shopping boutiques in between visiting Big Ben and Buckingham Palace ,5
33395,Earl  Court squares,5
33398,Stoke Newington is a peaceful and diverse  in the borough of Hackney with excellent restaurants offering Thai  Turkish  Portuguese  Italian  Spanish and Vegetarian/Vegan cuisine all a short   from the     There are three supermarkets   easy      good local shops including local butchers  fish-mongers  fruit and vegetable stores   Health food shops and a farmers market every Saturday   Clubs and the vibrant nightlife of Dalston  Shoreditch and Old street are a short bus ride    as are the Barbican arts centre and Sadlers  s Ballet  the Arcola and Almeida Theatres   the Rio independant cinema  Hackney Picture    Screen on the Green and Vue Islington  There are two parks with large green spaces and tennis courts a fifteen     from the   and Stoke Newington Common and Abney Park Cemetery  three       ,5
33399,Absolutely the BEST location  Only 2     from Hammersmith tube station with Four available lines  Piccadilly  District  Hammersmith   City and Circle    Opposite is the famous Eventim Apollo-one of London  best concert halls   Check out their website in case there  a good show you can watch  www eventimapollo com   In addition the Kings Street is 5       with all the shopping you can do AND the beautiful Hammersmith bridge is   by and the River Thames- pubs along the river,5
33400,A vibrant   of London with plenty of amenities  public parks  leisure centre  cinemas and restaurants and pubs ,5
33403,The apartment is set   the popular  WEST QUARTER development in Brentford  occupying a prime location   easy reach of Brentford and Kew Bridge Mainline stations and South Ealing Underground station  The development boasts a range of on-site facilities including a gym  supermarket and bus ter al offering excellent transport links towards Chiswick  Ealing and Kew  Motorists enjoy proximity to the A4/M4 allowing easy-access in and out of the city centre  River  s amp,5
33407,This   is a     from Buckingham Palace  Parliament  Chelsea  Belgravia  Mayfair and the Thames river  The   is full of char g cafes  restaurants  bars  pubs and shops  London most wonderful gardens - Hyde park  Green Park  Battersea park - are a 15-  lovely      Getting to Notting Hill  SoHo  St James would be a pleasant 30-40      a 10   bike ride or a short tube ride  The nearest supermarket is 3     ,5
33411,Worcester Park is a suburban town in south west London  surrounded by gorgeous parks   A peaceful and quiet   but one with   fantastic bars and restaurants  The high street comprises of coffee shops  nail bars  bars  restaurants  charity shops  a hardware store  Boots  Sainsbury's and Waitrose for your convenience ,5
33413,The   is situated in an awesome location  1   from Mornington Crescent  Northern Line  underground station and   a 10     to the vibrant Camden market and its surroundings  Beautiful Primrose Hill and Regents Park are only 15     from the    The Theatre district West End and Oxford street are all   a 15   commute by public transport or a 30       Euston station and St Pancras International   Kings Cross  are also        The famous Koko  Round  and the Jazz cafe are all ,5
33414,Clapham is a vibrant   of London in Zone 2  which means it is very   to central London making travel to see the sites quicker  easier and also less expensive   Like    s of London  Clapham is like a small village  There are plenty of bars  pubs and restaurants for nightlife as   as coffee shops  and lunchtime eateries  There is a cinema  a Michelin star restaurant  a bookshop  an eclectic 'objets d'art' shop  There is Clapham Common  one of the lungs of London  and a wonderful place to relax on a sunny day  Countless buses take you all over London  and if you sit on the top deck  some of these routes are as good as a Tourist Bus ride taking you past Parliament Square  Downing Street  Trafalgar Square  or Knightsbridge  Park Lane and Hyde Park ,5
33442,Located in the heart of London City Centre  England  United Kingdom      from Oxford Street and Regents Street in the bustling city centre of London   Andrew  June 2018  apartment - awesome location right in the centre of London  only a few    s   from both Oxford and Bond Street stations     Ruler  July 2018 Staying at Harley Street was a very pleasant experience   was spotless clean  spacious and very central  The host was very quick to response any questions I had and was very helpful  Would definitely stay here again ,5
33448,The centre of London is just a few stops   on the Underground  with the nearest station  Tufnell Park  a few     from the    or there are several bus routes  Locally we are lucky to have the huge open space of Hampstead Heath and very good shops  pubs  and restaurants ,5
33451,10     to the top of Upper street with lots of restaurants/cafes/bars/pubs and arty shops  And also lots of other options just on the doorstep in beautiful Barnsbury   Highbury fields is 5      Arsenal stadium 10     ,5
33457,Located in the heart of London City Centre  England  United Kingdom      from Oxford Street and Regents Street in the bustling  diverse and vibrant city centre of London   Andrew  June 2018  apartment - awesome location right in the centre of London  only a few    s   from both Oxford and Bond Street stations     Ruler  July 2018 Staying at Harley Street was a very pleasant experience   was spotless clean  spacious and very central  The host was very quick to response any questions I had and was very helpful  Would definitely stay here again ,5
33459,The  is quiet yet a few       you'll find yourself in the local cafes and shops ,5
33463,Very friendly  ,5
33464,What is special about the   is that its located near the London fields park  where you can go for a   and enjoy various activities  Also every Saturday there is the London Fields market where you can taste the most delicious street food and buy local products ,5
33477,Notting Hill is one of London's most cosmopolitan  s with significant Greek  French  American and Brazilian communities  Known for its vibrant food scene  you'll find diverse restaurants along Queensway and Westbourne Grove  After lunch  stroll past Notting Hill's impressive Victorian facades towards Kensington Gardens  part of the green lungs of London ,5
33485,You will be 5     from beautiful Portobello Road that has the Portobello market and 5     from the buzzing   of Golborne Road   More posh   with fancy shops and restaurants  Westbourne Grove  is only a 15        A true London vibe ,5
33491,Few     to Oxford street  10  to Theatreland  Leicester Square and the British Museum and open green spaces ,5
33499,We are 5     from the Fulham football Club  so the location is perfect for FFC fans  We are also just on the Thames river   for lovely   and easy access to the famous riverside pubs and restaurants such as the River Cafe restaurant  Crabtree pub  Blue boat pub  the Dove or the Old Ship in Hammersmith  We're also 10    from Bishops park and its amazing playgrounds and cafes ,5
33501,There  actually everything that makes this  so   In fact you don__ need to go outside  we got  starburst coffee  liddle shopping  snap fitness  gym  it  open 24hours  the Morgan  it  pub  There  also a play ground for kids ,5
33509,The   of Walthamstow is home to  coffee shops  a high street packed with local shops and grocery stores  bars  pubs and just a short   to the beautiful Hackney Marshes  Really   to Craft Beer at Wild Card Brewery   breakfast and Coffee at 56  the lights of Gods Own Junkyard  the trendy stores of Hoe Street and the  food in the Village ,5
33513,Fantastic location in the heart of Marylebone Village  just off the high street  lots of beautiful shops  eateries  pubs and bars ,5
33517,We're just off Marylebone High Street  fantastic shops and restaurants  cafes and bars/pubs  Regent's Park is a 10     ,5
33524,This is a quiet  pretty  leafy residential     to local parks  restaurants  shopping  Transport links to Brent Cross shopping centre  Oxford Street  West End theatres  RAF Museum  Victoria   Albert  Natural History  Science  British Museum  Tate and all London Tourist attractions  Convenient to visit the Harry Potter studio tour  Easy commute to most of the London universities and colleges ,5
33532,The proximity to the parks is a huge plus  It's so easy to get lost on long  s in this beautiful    Additionally  there are multiple supermarkets  coffee shops  restaurants  and pubs in the   just         They are open quite late and easy to get to from the    The is located in a relatively quiet    but not is not too far from Camden  known for its markets and lively music  art  and nightlife culture ,5
33533,The   boasts excellent transport links to anywhere in London  You can go on a stroll alongside two  rivers  The space is green and leafy and provides a secure and quiet feel   You can do your shopping at Sainsbury  Local which is next to the building  Tesco Superstore is a short      you just need to cross the underpass ,5
33537,Only few   from coffee shops  stores  groceries and tube station ,5
33539,The   is in the borough of Hackney which has tons of venues for eating  drinking  and shopping to your hearts content  All with something unique to offer  We love living next to the canal  it is so lively yet peaceful at the same time  A true escape from London stress  You can hear the riverboats tugging   to and fro and is so refreshing    There are lovely shops   posh bars  local pubs and burger joints around    15     to Colombia flower market or Broadway market  open on weekends   15   by overland to brick lane market via Shoreditch High Street  a 30     brings you across some unique shops and restaurants along the way via Kingsland road    Some of our favourite __t your doorstep_ spots   - Cocktail bars- Brilliant corners  audiophile cocktail bar   Map Maison  Untitled  concept bar  - Casual lunch on the canal- arepa   co   Barge    towpath cafe - Local pubs with craft beers- Signature brew taproom  Draft,5
33549,Hyde Park is down the road  10    and the apartment is only a 15       from Paddington station so there are  transport links  Perfect for any families  friends  couples or business travellers looking to stay in a Central London location ,5
33552,Voted one of the best  s to live in London  central and safe ,5
33555,Brockley offers a host of cafes  pubs and restaurants  shops  parks and a traditional farmer's market  fringe theatre and 1 of 2 ballrooms in London  Other leisure activities in  Greenwich  see Maps and Guide  include cinemas  theatres  concert venues  historic parks and museums   The  st restaurant or supermarket is 5     from the property ,5
33556,Battle of Britain - 5     High street shops - 5      Restaurants - 5      Cinema - 5      Gym - five      Brunel university - 10      Uxbridge college 10    ,5
33561,Short journey to Walthamstow /hackney/dalston,5
33562,Streatham boasts the longest high street in Europe  so here you'll find an array of coffee shops  pubs  cinemas  bars  restaurants - including chains and independent venues  This property is roughly a 5     from Streatham train station  so you can be in the heart of London   20   ,5
33564,The   is in the heart of Marylebone Village  A bustling central London neighborhood that at the same time has a feeling of a small village with its own fishmonger  baker  butcher and local cinema  Everyman Baker Street  just across the road  The  is popular with international crowd  City professionals and Hollywood celebrities ,5
33569,Westfield shopping mall is at its door step and some of the best historic London markets   10-15   of public transport / taxi commute   To name a few   Old Spitalfields market   https //oldspitalfieldsmarket com/   Brick lane  http //www visitbricklane org/brick-lane-market/4537676886  Colombia Road flower market  http //www columbiaroad info/ ,5
33570,The   is located in Hackney  E9  and   to some of the coolest parts of London  London Fields is the  st green   and a 50metre long heated open air swim g pool is available  entrance fee is only 拢5    there are plenty of coffee shops  restaurants and bars as   as shops and on Saturdays the vibrant Broadway Market  Sundays is flower market time on  Columbia Rd  Victoria Park  1st public park in London  is also  and excellent if you want to go for a run  rollerblade or bike around  Further on the Olympic Park  where the London 2012 Olympic games were hosted   offers plenty of green space and sport activities  The City of London and the west end are also   by and you can visit Spitafields Market  Tower Bridge  Bermondsey  Borough Market   Shoreditch and Hoxton are also   by and here you can find even more hip shops  cafes and night clubs and bars ,5
33577,Highbury is nestled between Highbury and Islington Finsbury Park and Canonbury  which has two of the biggest parks in Islington  Highbury Fields and Cliasold Park  Far quieter than  Islington  Highbury is home to people who consider a good brunch part of their daily routine  The   has plenty to offer in terms of elegant restaurants  decent bars and pubs  and ace gig venues  At Highbury Barn there is a local butcher  Godfreys  excellent cheese shop  La Fromagerie  Italian deli  Da Mario  a fishmonger and   cafes/restaurants  The   is also a short stroll to the bars and restaurants of Upper Street and Stoke Newingtom    Architecturally  Highbury boasts a mixture of gorgeous family homes on pretty garden squares  classic Georgian terraced  s and large early Victorian villas ,5
33581,Only few   from coffee shops  stores  groceries and tube station ,5
33589,Premium    Baker Street /Marylebone   Baker Street is just an 8     north of the shopping   of Oxford Street and just below Regent  Park   The   comprises a number of 18th century garden squares surrounded by Georgian town s of grand proportion  These sit alongside and sometimes contain a number of London University departments and medical institutions   Baker Street  home to the Sherlock Holmes museum is a 5      An 8     brings you to the world famous Madame Tussauds while another   lands you in the serenity and Georgian grandeur of Regent  Park   Bloomsbury is a good location to rent an apartment in London  While it is a stone  throw from London  West End and the myriad shops and entertainment on offer  because it has so   large institutions and offices  by night it is just a little more peaceful than some of the more dense residential s which allows you to escape the frenetic pace ,5
33595,It's a very cool   with lots of newly opened restaurants and coffee shops and a tube-stop   from Shoreditch  We can give plenty of recommendations for delicious food and activities ,5
33600,Very vibrant and full of cafes and bars ,5
33602,Putney has it all  river  parks  restaurants  coffee  and proximity to central london and also Wimbledon/Richmond,5
33605,Even though   to central London in zone 2  has a village-like feeling with the green spaces  markets and the shops       on foot to the lovely Victoria Park   for  s  hanging out or sports    good pubs  cafes  restaurants and other amenities 2     in the Victoria Park village    to hipster London Fields and the bustling Broadway Market  An enjoyable     to Columbia Road market  Short bus drive to top nightlife spots in Shoreditch  Brick Lane and the City of London ,5
33615,Wandsworth Town offers a village feel   a stones throw of all of London's major land marks  A  place to be based to explore all that London has to offer  My favourite local brunch spot is Brew  Alma for a pint on a Friday  East Hill pub for a lazy Sunday lunch  Waitrose and Sainsburys just a short      Wandsworth Park and the Thames Pathway is just a short stroll   ,5
33617,Itto is one of our favorite local Ramen restaurants  we are also surrounded by some  pubs and cafes ,5
33620,It's a wonderful   for children and their parents  We__e in the heart of East London  fashionable arty    nestled between buzzy Broadway Market  independent shops  boutiques  cafes  restaurants and street market  and London Fields in one direction  7      and the organic delis  restaurants  cafes and pubs around Lauriston Road  Victoria Park Village  in the other direction  5       3     south and you're in Victoria Park with its two playgrounds and 5     north you__l find the African and Turkish  i-markets  and supermarkets on   Street and Morning Lane  We__e 10-15     from London  only open-air  heated  Olympic-length swim g pool - London Fields Lido  A short cycle or bus ride to the Olympic Park with swim g  cycling and playgrounds  Easy access by bus or tube to central London  with all its attractions ,5
33629,Marylebone is a chic residential   with a village feel  centred on the independent boutiques and smart restaurants of Marylebone High Street  Tourists queue for the Madame Tussauds waxwork museum and the Sherlock Holmes Museum  the latter in the fictional sleuth  home at 221b Baker Street  The Georgian mansion that  s the Wallace Collection of art and period furnishings typifies the  's elegant architecture ,5
33637,The   is perfect for families who want to explore London  maybe combine with work  and return to a stylish and comfortable yet practical home with a pretty garden and good quality fixtures and fittings  We have an excellent    equipped kitchen but - if you don__ feel like cooking and want to stay   to home - there are several eateries in the immediate local   as   as some wonderful parks for picnics and play  Blythe Hill Fields  Hilly Fields Park  Honor Oak Sports Ground   Playground  One Tree Hill and Peckham Rye Park are all       or a short car journey    ,5
33639,Soho is full to the brim of amazing places to eat  drink  Hyde park  green park and Regent  Park are just a      experience what it is to live in the heart of London   ,5
33643,There is a lovely open park which is about a 10     to  This summer there will be a bathing lake there too with own beach  Bromley has a very good shopping center which is a 5       ,5
33650,My favourite cafes in the   are  1  Footnote  for brunch  2  Pavillon  for brunch in Victoria Park  3  Bread Station  for a quiet breakfast   For dinner do not miss  1  Little Georgia  BYOB  to experience Georgian tapas 2  Hill   Szrok  expensive but  meat place   3  Patty and bun  for the best burger in town    Things to do  1  Grab some street food in Broadway Market and have a picnic in London Fields park 2  Enjoy the vibrant Columbia flower market on Sunday and continue   to Brick Lane 3  Have a pint or a Sunday roast at the People's tavern in Victoria Park,5
33657,Southfields is a village nestled in between Putney and Wimbledon and is extremely safe  residential with fantastic transport links into central London or the busy local  s   On the doorstep you can visit the famous Wimbledon tennis courts  grab a bite to eat in Wimbledon village or head into town for sightseeing or a fun day out in London ,5
33661,Northcote Road is the local shopping and night-life   with boutiques and restaurants  cafes and bars  Wandsworth Common and Clapham Common are peaceful green  s   by ,5
33664,There is a large park across the road   pub with craft beers  a delicious modern indian restaurant and a small supermarket all   2     The heart of Brixton with all its lively bars  restaurants and shops are only a 10    down the main road ,5
33669,The   is   to train station  Tesco   big shopping mall  market  few pubs in Lewisham High Street  including a  cafe for breakfast and a Turkish restaurant which is one of our favourite   Blackheath and Greenwich can be easily reached with a bus and there you will find some of the most romantic corners of the city  especially during spring and summer  it is  to   around this   ,5
33671,Hang out at_ The magnificent Salisbury pub  one of north London  glories when it opened in 1899 and still glorious  Finsbury Park is the    main park and one of the first  London parks                                                                           Green Lanes high street  with its mixture of multi-cultural restaurants and shops You will also find   local independent grocery shops  delicatessen  food markets and late night speciality shops covering all types of cuisine  Other  locals include The Garden Ladder  The Finsbury  The Old Ale Emporium  Brouhaha and Jam in a Jar  where you can enjoy live music most nights of the week ,5
33686,- Arsenal Emirates Stadium - The Home of Football - Finsbury Park - which host   outdoor events including music concerts 15   from Islington - Upper Street  a cosmopolitan  s filled with world class entertainment 10   from Highbury Park,5
33692,Get a true local vibe while being only   from the financial center  New Cross is crawling with artists  students  professors  creative professionals and locals   It has everything you need in the way of cafes  local global eateries  supermarkets  coffee  transit    Go for a run in the park  have an espresso at an outdoor cafe  join an African dance or Iyengar yoga class  or find some good reads   5   to Deptford with more hip eateries  shops and galleries   10   to Greenwich with local history and beautiful scenery     films have been shot here  ,5
33703,We're located a five-    from Peckham Rye park  a stunning expansive green   with some fabulous cafes   Cafe G does an incredible vegan brownie     We're a ten   bus ride to the bustle and hum of vibrant  Peckham Rye  which Vogue magazine describes as London's cultural epicentre  Here  the Bussey Building is definitely worth a visit _ an old ware  turned arts and culture hub  where you can enjoy a campari overlooking the city at hotspot Frank's Cafe  or a rooftop yoga session and film evening   Food in Peckham is nothing short of epic ___tylish Mr Bao's steamed buns  Banh Banh's outstanding Vietnamese street food  Levan's imaginative european plates and buzzing atmosphere  Pedler's seasonal fare  brunch and gin cocktails   imalist  light-filled eatery Coal Rooms   honestly  we could go on   Our little enclave is also famed for the Nunhead Art Trail  where resident artists in the   open their homes to the public to display the,5
33717,We have a national trust park at the end of the road  and Wimbledon Common is only a 15   drive    Richmond park is about a 20   drive    We are about a 15-20    from either Wimbledon South tube station or Wimbledon tube station  so very accessible for getting to central London ,5
